Datetime,Tweet Id,Text,Username
2022-05-31 23:48:00+00:00,1531784590049873920,"""Whoever causes one of these little ones who believe in me to sin, it would be better for him to have a great millstone hung around his neck and to be drowned in the depths of the sea.""
-Matthew 18:6

@disneyplus @Disney #Disney #DisneyPlus https://t.co/2hbBWkr3is",RightyTeacher
2022-05-31 23:41:38+00:00,1531782991504150530,Prepping for Captain Marvel. And in IMAX format to boot! #CaptainMarvel #MsMarvel #DisneyPlus #BrieLarson https://t.co/JwwuSxg8X6,traumahound03
2022-05-31 23:39:17+00:00,1531782398349692928,"Is Disney in decline? #disneyplus subscriber numbers, #reedycreek, overcrowded theme parks, and concerns that fans will tire of shows and movies based on the #MCU and #StarWars like #ObiWaKenobi are just some of the problems the company is facing 

https://t.co/opv6aMzP04",LtwWriter
2022-05-31 23:36:31+00:00,1531781702544130048,.@disneyplus Releases a New Trailer and Poster Ahead of @obiwankenobi Series Premiere https://t.co/hSr8zNn5KY #ObiWanKenobi #DisneyPlus https://t.co/3LAzuIpItj,glittermagazine
2022-05-31 23:35:12+00:00,1531781371311534080,"Wanted to take a moment today to say that #MosesIngram is amazing on #Kenobi! She embodies the nature of the #Sith anger &amp; aggressiveness that a character like #Reva needs
can’t wait to see where she takes the character!
#DisneyPlus #StarWars #DarthVader
@misterdna93 @gkwordsmith https://t.co/0pLH5c6LnR",BROODLORD75
2022-05-31 23:31:28+00:00,1531780430416039936,"'Obi - Wan Kenobi'  is the most-watched Disney+ Original series premiere globally to date.

#hookup 
#Giveaways 
#DisneyPlus 
#Original https://t.co/5tjxLdNbYF",Bin_jaball
2022-05-31 23:30:02+00:00,1531780071740133381,What’s New On Disney+ | Pistol (UK/IE/CA/AU/NZ) https://t.co/PcsfwYZOYN #disneyplus https://t.co/VBnhDjpJbn,disneyplusnews
2022-05-31 23:28:21+00:00,1531779646215397376,"#ICYMI NOW LIVE on #YouTube 
Come Check out #TheStutterBrothers new #reactionvideo #reactions and #Review to the new #TeaserTrailer to the upcoming #DisneyPlus #Disney #liveaction #remake to a #Classic to #pinocchio Hope ya guys LIKE &amp; LOVE it! :) https://t.co/3Na3lcobCW",Ice8859
2022-05-31 23:24:38+00:00,1531778712257036289,#ObiWanKenobi breaks #DisneyPlus' series premiere record!  https://t.co/6LDq0pngDq,heroichollywood
2022-05-31 23:21:55+00:00,1531778027289550848,"@DjuricTine Where are they from? BSG? Can't be #StarWars coz their first black character just made her debut last week.
Gtfo with this nonsense
#Disney #DisneyPlus #Kenobi #FalseInclusion
#Falsediversity",j4cksays
2022-05-31 23:21:53+00:00,1531778017340665856,"Unpopular opinion but Doctor Strange sequel is fairly shit, should have just called it the WandaVision movie. Save your money wait till it’s on Disney+ #DisneyPlus #DoctorStrangeInTheMultiverseOfMadness #DoctorStrange",The_Kyber_Cave
