Datetime,Tweet Id,Text,Username
2022-05-31 23:59:03+00:00,1531787371825463296,"#StrangerThings4 was viewed at a whomping 286,790,000 hours for the week of May 23 to May 29, setting a brand new #Netflix record for most watched premiere!!

To hear my thoughts on the show check out this week's episode for the podcast, available now!
https://t.co/Sxkii8kdzp https://t.co/ONRuBf8R3q",wlbpodcastzero
2022-05-31 23:55:05+00:00,1531786372838592513,Netflix Camera Crew BANNED – FORBIDDEN To Cover Prince Harry And Meghan Markle At Queen Elizabeth’s Platinum Jubilee https://t.co/QveM4aVUNK #BritishRoyalFamily #MeganMarkle #Netflix,TheOvertimer
2022-05-31 23:54:13+00:00,1531786156978880512,"Man vs Bee looks lit!!! Cant wait🙏🏾 
#netflix #june 

 https://t.co/GEYhMI3ghK",TeddyDa1Great
2022-05-31 23:54:01+00:00,1531786104705372160,"#Netflix movie of the day: The Ballad of Buster Scruggs (2018, IMDb 7.3)
Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the advent...
Link: https://t.co/ENOkxsGsSm
#WhatToWatch  #movies",flixboss
2022-05-31 23:53:18+00:00,1531785927529578501,"@Stranger_Things #netflix #strangerthings season 4, vol. 1 was freakin awesome! They wrapped up the last 30 minutes with a fantastic bow! Holy s***! Cannot wait for volume 2 in July! - 🍿🍿🍿🍿🍿 https://t.co/zMtoNzDTYb",Triad718
2022-05-31 23:51:51+00:00,1531785560125321216,Just start watching #StrangerThings4 and must say first episode is definitely interesting is it worth binge watching I’m only in season 1 about to be on episode 2 #netflix,JermainePrice83
2022-05-31 23:51:21+00:00,1531785434493239296,"Me, screaming at Jane/El: “THAT IS NOT YOUR PAPA!!” 😭😭😂😂 #StrangerThings4 #netflix",jjroqthemic
2022-05-31 23:49:29+00:00,1531784966241239042,So I just finished part one of #StrangerThings4 &amp; I AM LOST FOR WORDS. This storyline is EVERYTHING. Episode 7 had me in a headlock 👏🏼👏🏼👏🏼 #Netflix #strangerthingsseason4 #strangerthings,matryoshka08
2022-05-31 23:49:02+00:00,1531784852906860546,"Even a win can come with a big cost. #Netflix reportedly spent $30 million per episode for this season of #StrangerThings.

#Streaming #techLA #LongLA
https://t.co/Zmz26Kb5Nl",dotLA
2022-05-31 23:48:08+00:00,1531784625881612289,@King_JayLoft like i have so many questions and now im rewatching it. gonna get to the bottom of it #netflix,dexterstouch
2022-05-31 23:46:36+00:00,1531784237749309440,The Strangest: temporada 4 de #StrangerThings rompe records de streaming de #Netflix. https://t.co/LuLdKfzPzL,MiguelCunillera
2022-05-31 23:43:52+00:00,1531783551582101505,Has anyone else tried looking for info on the people from both seasons and info on season 3 even tho we JUST got the last parts of season 2? 😂 🙃🙊 #FutureDiary #FutureDiary2 #futurediaryS2 #futurediaryseason2 #Netflix @netflix,pember_emily
2022-05-31 23:42:40+00:00,1531783251542609921,"This new stranger things season hits different!

#StrangerThings4 #Episode4 #Netflix #Crunchyroll #",nerdzinthehood
2022-05-31 23:42:23+00:00,1531783177206898688,"So yeah, the new posthumous @normmacdonald #Netflix special is absolutely brilliant.",HardleyBrowne
2022-05-31 23:42:06+00:00,1531783106742607872,Cookies+Disappearance at Clifton Hill= Happiness! #movienight #Netflix https://t.co/6OSKqf3Rr8,mermaidseatpla1
2022-05-31 23:41:01+00:00,1531782833869664256,"#Netflix movie of the day: She's Dating the Gangster (2014, IMDb 7.0)
To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfr...
Link: https://t.co/hIJ51ADi2H
#WhatToWatch #NetflixCanada #NetflixCan #movies",FlixbossCA
2022-05-31 23:40:51+00:00,1531782792736133121,New Season of @blackmirror Is Coming To @Netflix https://t.co/pXl8Zp0gTZ #BlackMirror #Netflix https://t.co/KGSuGHHBDQ,glittermagazine
2022-05-31 23:39:01+00:00,1531782331366883328,"Bradley Cooper ripped for fake nose in Leonard Bernstein biopic
#53122 #antisemitism #bradleycooper #conductor #Movies #netflix #westsidestory
https://t.co/u4tOFpeZGC",Pratttte
2022-05-31 23:38:36+00:00,1531782227108851714,#StrangerThings4 is the biggest premiere weekend ever for an English language TV show on #Netflix with 286.79M hours viewed https://t.co/CWpXETr1Mf,GoldMedalMovies
2022-05-31 23:38:00+00:00,1531782074566332419,"Fanart of Lina.
Character from the DOTA game and the Netflix series DOTA: Dragon's Blood.
@DOTA2

@NetflixBrasil
 
@netflix
 
@valvesoftware

#Dota #Lina #Netflix #Valve https://t.co/jHtsoIH8Di",CatrielTrevelin
2022-05-31 23:37:27+00:00,1531781937139961857,"Watch the Official Trailer for Netflix's Upcoming Film, 'Hustle' https://t.co/M2yxhidcoe #Netflix #Underdog https://t.co/2vqdGhbcjA",glittermagazine
2022-05-31 23:36:58+00:00,1531781815152918529,"Tough times ahead for startups and growth focused businesses. Value focused businesses are the safe investment going forward.

#Netflix #SWVL #Layoffs #Startups",mkamhawi
2022-05-31 23:36:00+00:00,1531781572684353539,"The layoffs happening now are a frantic run to find value sooner, but will it be enough? Is creating an unstable work environment the smart way for reaching a positive balance sheet? Or does it do more harm than good?

#Netflix #SWVL #Layoffs #startups",mkamhawi
2022-05-31 23:35:02+00:00,1531781329737719809,"Sharing an insightful interview about the Fed’s reaction to inflation and what can be unraveling right now for startups… is it a valuation crisis? A second .com bubble? A market correction?

https://t.co/b4UH2zHg03

#Netflix #SWVL #Layoffs #startups",mkamhawi
2022-05-31 23:34:49+00:00,1531781274871947264,"#Netflix cracks down on #password sharing, but early efforts in #Peru are a mess
Widespread customer confusion and regulatory hurdles are a taste of what's to come soon for markets around the world.

#daryaft #lingfirm #longreads

https://t.co/Tz9uc2xrq3",DaryaftLongform
2022-05-31 23:34:36+00:00,1531781221423915010,Me when Max started having visions and I think they gonna try my girl #StrangerThings #strangerthingsseason4 #SadieSink #netflix https://t.co/vL2Acy902B,CharlyLeVampire
2022-05-31 23:34:14+00:00,1531781129124061184,Watched episode 1 of new #StrangerThings tonight Shaping up to be as good as before #Netflix #sciencefiction,Verde1957
2022-05-31 23:33:58+00:00,1531781060819828742,Has anyone seen a more recent update? #thefuturediarynetflix #thefuturediary #netflix ⁦@netflix⁩  https://t.co/IakYSHfCJj,pember_emily
2022-05-31 23:33:19+00:00,1531780895253970945,The first one looks like Hope’s shocked at something.  #savelegacies #netflix https://t.co/7oZjEkD8W7,Lxwis01
2022-05-31 23:30:48+00:00,1531780262346035201,"Good perspective. Maybe a little bit of an overdo as fo #Netflix , but I am sure many in #NASDAQ100 have worse tech fundamentals, worse coding, major security problems, ugly UI/UX and very volatile in share prices. https://t.co/5dyS3GgE4f",XpertCryptoUk
2022-05-31 23:28:43+00:00,1531779738393579520,@thicksaladass Omg no wayyyy! That’s literally so crazy lol #strangerthingsseason4 #wild #netflix,Joshrodzzz
2022-05-31 23:26:48+00:00,1531779256472174592,@SebastianComedy #WhatsWrongWithPeople rewatching this classic on #Netflix and it still holds up.  😂 https://t.co/PYSTOl30Cn,EBGuitarMan
2022-05-31 23:25:10+00:00,1531778844801236992,"Norm MacDonald: Nothing Special #Netflix 
His last material during pandemic w/o an audience.
Followed by a panel of six friends",Crash528
2022-05-31 23:23:18+00:00,1531778377199280128,"Everytime Netflix drops a new show, they spew retweets of fake people praising their shit.

Except this season of stranger things I haven't seen a single tweet from Netflix.

All the people praising it are people that I follow. It's great!

#Netflix",theTK100
2022-05-31 23:23:02+00:00,1531778308492369922,"Why does @noah_schnapp look like @Charles_Leclerc all the time in Stranger things S04!!!??? 
Loving the show again! Great come back. 
#StrangerThings #CharlesLeclerc #Netflix #F1",Abhi_pamulapati
2022-05-31 23:20:25+00:00,1531777650313814016,"How are y’all enjoying S4?!? Drop a comment below 🔥🔥🔥
📸: @bradley206 
•
•
•
• 
#allamerican #cwallamerican #allamericancw #christianjames #danielezra #michaelevansbehling #wadewaters #teamwade #3isourQB #netflix https://t.co/FuwVOQveDE",C_JamesOfficial
2022-05-31 23:17:30+00:00,1531776916377808897,Now that I know what LOT season 8 would have been about. I need a season 8. It’s driving me crazy. Give them the respect they deserve. The spoilers only do more harm than good. Do not give up hope #SaveLegendsOfTomorrow #Netflix #HBOMax,Ashley83199057
2022-05-31 23:15:28+00:00,1531776404324503553,"Silverton Siege is one of the best movies I’ve seen this year. 

#SilvertonSiege #netflix",nanaessilfiejr
2022-05-31 23:12:41+00:00,1531775704580382720,"Well, now I need an update on everyone from both seasons…and to know when season 3 is!

@netflix #Netflix #thefuturediarys2 #TheFutureDiary2 #TheFutureDiary #thefuturediarynetflix",pember_emily
2022-05-31 23:11:28+00:00,1531775396030697473,"Has anyone counted how many references are in #StrangerThings?

I kept bringing up so much 80's horror while watching. Time to re-watch and count!

#StrangerThings4 #Netflix #HorrorFamily #HorrorCommunity https://t.co/tsOOhra5kL",joebrunett
2022-05-31 23:11:24+00:00,1531775381463875584,"I just love when I'm about to start a movie at 11 pm because I feel the urge to and 2 hours later I'm all happy (and tired) with no regrets.
#BecauseOfYou on #netflix has the right summer vibes, looks a bit indie, has one or two clichés but makes you nonetheless quite happy. https://t.co/yGQBxMGPEZ",AnkaAnker
2022-05-31 23:11:19+00:00,1531775358860763136,Stranger Things 4 did not disappoint. I loved every episode Dear Billy had me in fucking tears 😭. 001 and 11 at the ends just genius. Well done 👏🏾👏🏾👏🏾#StrangerThings4 #dufferbrothers #Netflix,Mellie_Worlds
2022-05-31 23:10:17+00:00,1531775099967266819,WHO KILLED SARA? #whokilledsara #netflix #foryoupage #fypシ #fyp https://t.co/pKxXPCtnIO,AwarenessGirlMo
2022-05-31 23:08:37+00:00,1531774681128349697,MEETING THE CROWN - MEMORIES ..#royalfamily #meghanmarkle #britishroyals https://t.co/ZHXFLpKSVS via @YouTube #thecrown #netflix #PlatinumJubilee #PlatinumJubileeCelebration #PlatinumJubileePageant #thequeen #princephilip #RoyalsFamily https://t.co/mTNuBlj0EI,neilseanshowbiz
2022-05-31 23:04:43+00:00,1531773699069730816,Name where he is from…. WRONG answers only 🖤🖤🖤  #TuesdayMotivaton #film #FilmTwitter #HorrorCommunity #horror #Morbius #xmen #scifi #StrangerThings4 #StrangerThings #ZombieCrew #MovieTwitter #movies #movie #Netflix #tvtime #game #spooky #TerrorTuesday #Coraline https://t.co/g4BbRGsdRO,SalemsCellar
2022-05-31 23:00:40+00:00,1531772681481342976,"“The 2 of them were led by the light and each met their soulmate.” 🥰

@netflix #Netflix #thefuturediarys2 #TheFutureDiary2 #TheFutureDiary #thefuturediarynetflix",pember_emily
2022-05-31 23:00:09+00:00,1531772549650354177,"Netflix

#Netflix #動画
https://t.co/IAUEGE42wY",trance0910
2022-05-31 23:00:01+00:00,1531772515365933056,"Getting stranger.

The Stranger Things Season 4: Part 2 teaser has dropped, giving a look at the upcoming two remaining episodes of the show's final series......including teasing the Mind Flayer's return. Are you excited? Well calm down then.

#Netflix #StrangerThings #MindFlayer https://t.co/4yHjactiB4",Studio35TV1
2022-05-31 22:59:38+00:00,1531772420935143424,#StrangerThings4 is the biggest premiere weekend ever for an English language TV show on #Netflix with 286.79 million hours viewed. https://t.co/yJ24QiZdtA,moviestalkhindi
2022-05-31 22:59:29+00:00,1531772380116406272,Any #Netflix Recommendations ?,MR_KANESMALLS
2022-05-31 22:56:40+00:00,1531771671639564289,STRANGER THINGS JUST🤯! NEED PT.2 NOW!!!!!  #Netflix #StrangerThings #twitchtv #Xbox #ApexLegends,vHIPPOv
2022-05-31 22:56:01+00:00,1531771508707704833,"#Netflix series of the day: Dark (IMDb 8.7)
A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three g...
Link: https://t.co/vaU6arpF56
#WhatToWatch #NetflixCanada #NetflixCan #TVseries #TVshows",FlixbossCA
2022-05-31 22:55:57+00:00,1531771490927923200,"Netflix Reviews for Hello, My Name Is Doris watch now: https://t.co/tX9JZC7a3a  #movies #Netflix #Youtube #sallyfield https://t.co/v61NEzklaY",marguerite_fair
2022-05-31 22:52:54+00:00,1531770726025420801,where was Vecna all those past seasons? #StrangerThings4 #StrangerThings #answers #Netflix @Stranger_Things @netflix,Noush_tweets
2022-05-31 22:52:14+00:00,1531770558806953984,"Netix needs to stop doing this..this is just horrible to treat animators and writers garbage like this! You can't take away free will of writers and cartoonists!😤😤

#NewDeal4Animation #animation #Netflix https://t.co/ocA6Yp2vx4",NerdWolfy
2022-05-31 22:51:24+00:00,1531770346046738440,"why are Friends, BBT and Modern Family leaving from #Turkey #Netflix? https://t.co/xMLOcGAsMS",zelish_k
2022-05-31 22:50:01+00:00,1531770001157406720,What if we had a show for #NFTs? It would be the same concept as the circle on #NETFLIX,dogedadie
2022-05-31 22:48:32+00:00,1531769624446095360,"FARZAR! This show is such a joy to work on! And ranked by some amazing co-stars. Listen up for Zobo and Sal! 👽

#farzar #netflix https://t.co/kkmZgW3k3a",carlosalazraqui
2022-05-31 22:48:01+00:00,1531769495869657091,"#Netflix series of the day: After Life (IMDb 8.4)
Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to pus...
Link: https://t.co/ngjFXJSWaO
#WhatToWatch  #TVseries #TVshows",flixboss
2022-05-31 22:47:39+00:00,1531769405130014720,"Highly anticipated Netflix series doesn’t disappoint in its 4 outing (Part I). Great visuals, writing, direction, acting and overall production makes this series one of the best Television shows. Verdict: A @Stranger_Things #StrangerThings #Netflix https://t.co/mhRxOMdIkR",ConsultantMovie
2022-05-31 22:45:45+00:00,1531768926497030144,yall post this every week like just keep tweeting #savelegacies #netflix #hbomax instead https://t.co/CudUP5HQCx,Lxwis01
2022-05-31 22:42:48+00:00,1531768182142271491,Bill Nye saves the world... best thing on #netflix recently! 🙌#billnyesavestheworld #science,Jazzyljackson
2022-05-31 22:42:08+00:00,1531768017146765319,"#Survivor Finale crowns a new winner, #StrangeNewWorlds on #ParamountPlus, #ObiWanKenobi starts on #Disneyplus as #StarWarsCelebration kicks off, as well as #StrangerThings drops on #Netflix https://t.co/JfpubYTQy4 on #Podbean",BayRejects
2022-05-31 22:40:54+00:00,1531767705719779328,"All wrapped up in bed watching Dracula. 👀 
Short series. #Netflix",kevweee_
2022-05-31 22:40:20+00:00,1531767563419623425,"Stadium Anthems 🏈⚽ 🏀 🎾 🏟️
Streaming EVERYWHERE 
🔥😤🔥
Produced by @mgproducerinc
Stay tuned #Hulu #Netflix #ESPN
#MichaelEgo #mgproducer 
(Sports Television Ques and Beds)

 #explore #explorepage #exploremore https://t.co/nt1rQvSqtD",mgproducerinc
2022-05-31 22:39:57+00:00,1531767466476675073,Had an absolute blast cosplaying Jaskier at London Comic Con last weekend!!  Made this costume entirely by hand back in 2020 and finally got to wear it out somewhere!! 🌼🐺 #Jaskier #TheWitcher #Netflix #comiccon #cosplay @witchernetflix @LHissrich https://t.co/7Rw3ubQqEf,ThatMaldonMod
2022-05-31 22:39:01+00:00,1531767232451182592,"I wish #netflix had put some kind of warning on last weeks #bettercallsaulseason6 ""No more episodes till June 11th""",BoxkidNFT
2022-05-31 22:37:58+00:00,1531766969019600896,"Stadium Anthems 🏈⚽ 🏀 🎾 🏟️
Streaming EVERYWHERE 
🔥😤🔥
Produced by @mgproducerinc
Stay tuned #Hulu #Netflix #ESPN
#MichaelEgo #mgproducer 
(Sports Television Ques and Beds)

 #explore #explorepage #exploremore https://t.co/9vZoS8R3jf",mgproducerinc
2022-05-31 22:37:00+00:00,1531766725896974337,@ghost_spotter @lefty_here_ @BoschAmazon Watching the game on #Netflix,Simarr14
2022-05-31 22:36:47+00:00,1531766667486937088,"https://t.co/ZRrLsu1bqb Subscribers had long been sharing (their) passwords to other “non-household members”, &amp; I guess that’s partly the reason for #Netflix’s loss in earnings. But I think it’s also because many people are realizing the streamer has a lot of crappy content.",Blade_theDJ
2022-05-31 22:35:36+00:00,1531766373562650626,Yay time for the new episode of #JumpLikeAWitch loving this series #koreanvariety #netflix,Jac7724
2022-05-31 22:32:09+00:00,1531765504406429698,#netflix #serietv Stranger Things 4x01,cesc89_
2022-05-31 22:31:33+00:00,1531765352132116480,@netflix attempts broader on the insulting- 7 times they have written me that I can come back anytime &amp; just pick up where I left off- #AhWhat I am pretty sure I can deduct what happens in a subscription- poor selling point #Netflix how about addressing issues &amp; offering #perks,x_tygr_x
